"Site","JanQ","FebQ","MarQ","AprQ","MayQ","JunQ","JulQ","AugQ","SeptQ","OctQ","NovQ","DecQ"
"sm1","1.500","1.730","1.730","2.140","1.505","0.755","0.370","0.220","0.180","0.240","0.630","1.015"
"sm2","1.335","1.320","1.230","1.025","0.920","1.035","0.985","0.745","0.550","0.470","0.730","1.135"
"sm3","2.220","2.240","1.895","1.740","1.555","1.500","1.050","0.820","0.730","0.515","0.720","1.115"
"sm4","0.770","1.150","1.170","1.230","1.540","0.985","0.755","0.810","0.685","0.415","0.520","0.640"
"sm5","1.540","1.500","2.170","2.075","2.180","1.700","1.345","1.425","1.375","1.240","1.290","1.280"
"sm7","2.300","3.120","3.270","2.815","2.835","2.085","1.900","2.125","1.405","1.215","1.270","2.010"
"sm8","1.425","2.070","2.165","2.780","2.390","1.670","1.255","1.530","1.105","0.605","1.015","1.185"
"sm9","2.600","2.790","2.435","2.320","3.210","2.500","2.380","1.955","2.320","1.065","1.320","2.175"
"sm10","1.350","1.780","1.540","1.240","1.260","0.775","0.640","0.790","0.525","0.520","1.075","1.155"
"sm11","3.620","5.020","2.990","3.230","4.175","2.325","1.780","3.145","2.015","0.925","2.085","2.740"
"sm12","4.205","8.600","8.105","7.510","6.445","4.345","2.600","2.655","1.850","2.270","2.060","3.820"
"sm13","13.650","11.500"," 6.630"," 6.930"," 1.405"," 0.650"," 0.240"," 0.150"," 0.235"," 0.605"," 2.250"," 7.090"
"sm14","25.95","28.20","24.20","33.40","31.25","27.10","22.25","19.00","16.35","16.25","21.35","24.25"
"sm15","6.360","7.340","7.540","6.185","5.105","4.790","4.385","3.570","3.045","2.505","2.540","3.280"
"sm17","42.150","29.500","31.400","44.000","21.350","10.750"," 4.470"," 2.665"," 2.450","18.150","24.200","32.050"
"sm18","6.390","5.790","6.630","9.605","8.565","6.475","5.510","5.585","6.145","6.980","6.910","7.045"
"sm19","43.80","26.90","25.70","68.85","77.05","38.65","11.45"," 4.46"," 6.12","29.90","40.20","28.40"
"sm20","3.630","5.080","4.345","5.760","5.575","4.395","2.960","4.320","2.860","1.945","2.400","3.075"
"sm21"," 9.650","11.600"," 9.620"," 8.105"," 5.375"," 5.480"," 3.955"," 3.915"," 2.485"," 2.470"," 3.615"," 5.635"
"sm22","1.195","1.450","3.045","5.740","5.475","2.850","1.800","1.065","1.035","1.315","1.360","1.090"
"sm23","16.650","14.200","12.750","11.250"," 7.290"," 8.225"," 5.385"," 5.030"," 2.785"," 2.460"," 4.955"," 7.860"
"sm24","79.75","57.50","59.70","80.95","46.50","27.40","14.75","11.65","11.30","34.50","51.65","64.60"
"sm25","12.650","11.300"," 9.705"," 8.730"," 6.980"," 8.050"," 6.330"," 5.450"," 3.655"," 2.730"," 4.635"," 8.110"
"sm26","30.800","25.000","32.700","24.850"," 6.190"," 2.325"," 0.745"," 0.170"," 0.175"," 0.450"," 6.185","16.100"
"sm27","14.550","16.500","16.150","13.250","10.200","11.200"," 9.260"," 7.905"," 6.825"," 6.155"," 7.885"," 8.600"
"sm28","1.930","1.930","2.890","3.270","4.495","2.750","2.485","5.260","1.960","1.685","0.885","1.510"
"sm29","15.200","14.800","14.500","15.450","16.800","10.850","10.650"," 9.315"," 8.685"," 8.355","12.450","10.450"
"sm30","31.400","24.700","25.900","18.500"," 3.470"," 0.535"," 0.200"," 0.000"," 0.000"," 2.930","23.100","21.550"
"sm31"," 8.505"," 6.950"," 2.365"," 0.695"," 0.515"," 8.730","16.400","21.400","25.900","17.850","10.150"," 8.625"
"sm32","14.500","14.800","13.800","13.100"," 9.125"," 9.180"," 6.735"," 6.675"," 4.525"," 3.070"," 5.350"," 7.645"
"sm33","16.00","13.80","17.00","35.60","24.55","15.80","14.55","14.80","16.30","19.00","17.20","17.90"
"sm34","12.050","10.100"," 8.330"," 7.545"," 5.635"," 5.695"," 8.295"," 4.430"," 2.470"," 1.665"," 2.225"," 3.845"
"sm35"," 4.685"," 4.360"," 4.305"," 7.355","33.200","53.650","23.750","12.200"," 8.655"," 7.190"," 6.790"," 5.465"
"sm36","111.50"," 59.80"," 67.50","153.00","176.00","102.50"," 32.85"," 11.05"," 13.60"," 71.50","124.00"," 70.40"
"sm37"," 8.380","10.500"," 9.330","11.550","13.600"," 8.490"," 5.765"," 5.530"," 5.245"," 3.500"," 5.125"," 7.005"
"sm38","11.350","12.000","12.700","11.300"," 9.250","13.900"," 8.065"," 7.025"," 3.980"," 2.485"," 3.565"," 6.750"
"sm40","55.100","51.100","19.400","25.950"," 6.800"," 4.625"," 2.165"," 1.580"," 1.635"," 3.825","14.150","37.200"
"sm41","20.700","19.300","15.800","15.350","11.400"," 9.020","10.450"," 6.775"," 7.375"," 7.655","12.650","19.950"
"sm42","138.50"," 95.20","101.50","137.50"," 65.65"," 34.00"," 16.70"," 10.80"," 10.60"," 58.85"," 83.35","105.50"
"sm43"," 5.680"," 6.550","12.750","12.650","11.700"," 7.235"," 4.965"," 2.615"," 2.985"," 4.715"," 4.090"," 4.620"
"sm44","34.90","39.90","35.65","31.70","23.50","22.40","15.60","12.60","10.60","10.20","13.00","17.95"
"sm45","27.150","36.400","29.950","31.950","16.950","16.650","13.150"," 9.600"," 9.255"," 8.520","14.300","16.200"
"sm46","27.80","27.70","24.25","23.40","18.05","19.35","15.20","14.35"," 8.77"," 6.72","11.20","14.70"
"sm49"," 1.675"," 1.860"," 3.825","10.150","15.150"," 8.085"," 2.955"," 1.370"," 1.070"," 1.640"," 1.595"," 1.600"
"sm50","63.15","70.90","71.45","77.45","77.25","69.15","67.10","67.65","65.80","65.70","60.85","59.20"
"sm51","19.25","17.30","17.60","18.85","22.30","23.75","25.60","22.65","21.85","26.15","22.10","20.45"
"sm53","35.600","38.100","37.150","61.650","31.500"," 8.005"," 3.375"," 2.045"," 2.305"," 4.170","23.750","27.700"
"sm55","30.10","29.00","14.70","23.75","12.45","41.00","26.55","35.10","28.00","36.10","29.70","35.40"
"sm57","  5.870","  5.880","  5.500"," 15.550","184.500"," 90.550"," 20.600","  5.895","  3.905","  6.775","  9.750","  7.985"
"sm58","166.00"," 95.00"," 81.55","155.00","159.00"," 88.50"," 45.10"," 25.70"," 20.35"," 80.70","166.50","110.00"
"sm59","24.300","26.000","24.150","20.250","16.750","15.950","15.200","13.900"," 7.945"," 6.290"," 8.210","14.100"
"sm60","165.50","132.00","132.00","176.50"," 89.20"," 45.50"," 20.55"," 13.20"," 13.70"," 66.45"," 83.85","132.00"
"sm61","11.800","13.700","12.550","14.750","14.500","10.950"," 8.085","10.185"," 5.490"," 4.025"," 7.290"," 9.370"
"sm62","116.00","114.00","122.00","175.50"," 93.15"," 33.05"," 16.80"," 10.20"," 10.80"," 19.35"," 51.20"," 71.95"
"sm64","119.50"," 83.50"," 96.80","167.50"," 79.95"," 25.80","  9.63","  4.91","  4.66"," 11.70"," 42.35"," 76.50"
"sm65","24.600","31.200","28.950","25.900","20.450","23.250","17.300","14.900"," 9.345"," 6.160","10.950","14.200"
"sm66","76.800","70.300","33.350","37.550","11.950"," 7.465"," 2.675"," 1.760"," 2.045"," 8.345","24.150","51.700"
"sm67","42.65","63.30","64.15","52.50","36.40","30.85","24.30","19.15","15.25","13.10","17.25","30.70"
"sm68","23.000","26.200","25.650","21.550","17.950","19.500","15.700","14.500"," 9.965"," 6.685","10.700","15.150"
"sm69"," 9.280"," 6.270","14.900","26.950","28.750","18.100","14.500","20.400","14.700","31.350","14.750"," 8.325"
"sm70","68.20","74.40","59.65","70.75","74.15","64.15","43.50","50.20","37.65","31.80","44.20","45.40"
"sm71"," 26.50"," 40.30"," 51.85","127.50","114.00"," 27.35"," 10.95","  7.08","  6.11","  7.20"," 11.90"," 18.50"
"sm72","3.090","3.060","3.030","3.090","3.400","3.585","3.215","3.110","3.025","3.060","3.180","3.100"
"sm73","241.00","257.00","119.50","150.50","128.50"," 94.00"," 85.10"," 82.35"," 79.25"," 87.80","102.00","106.00"
"sm74","27.800","31.500","27.200","28.200","22.950","11.550","10.095","10.400"," 8.500","17.650","25.850","22.000"
"sm75"," 67.450"," 61.600"," 63.200","104.000"," 51.400"," 19.900"," 10.650","  5.530","  4.075","  9.755"," 34.050"," 48.450"
"sm76","73.400","72.900","60.650","66.650","48.250","34.200","17.900"," 9.610"," 7.215","20.550","44.050","58.850"
"sm77","47.45","53.00","46.55","42.40","30.70","34.95","28.10","29.10","16.95","12.70","16.75","24.65"
"sm78","36.950","42.900","42.150","36.550","27.450","23.950","19.200","13.500","10.300"," 8.875","15.550","23.700"
"sm79","60.600","39.700","29.700","27.500","11.900"," 7.145"," 2.855"," 2.735"," 3.635","11.700","20.900","40.850"
"sm80","57.55","81.30","60.55","54.75","39.10","49.55","41.15","36.05","25.75","22.80","30.30","43.30"
"sm81","147.50","153.00","105.00","110.50"," 42.55"," 26.70"," 16.10"," 10.50"," 10.30"," 13.65"," 22.45"," 86.75"
"sm82","13.065","13.300","13.700","37.700","47.450","17.850","18.200","21.300","22.150"," 7.925"," 4.865"," 9.870"
"sm83","11.100","12.900","26.600","37.250","44.350","27.650","10.050"," 6.990"," 6.130"," 9.565","10.550"," 7.155"
"sm84","32.650","62.500","61.400","56.300","35.800","28.000","21.550","15.750","14.700","11.300","11.255","15.900"
"sm85","36.250","37.300","32.250","29.300","26.200","21.100","15.050","13.200"," 7.275"," 5.995"," 9.710","19.600"
"sm86","31.00","33.10","33.55","29.10","24.10","31.50","28.20","21.50","10.50"," 6.93","12.05","20.45"
"sm87","22.90","26.70","30.65","65.20","86.70","86.95","40.05","22.85","17.25","20.15","20.25","21.60"
"sm88","40.50","46.40","43.80","39.00","32.80","39.95","27.50","23.15","14.65"," 9.70","18.10","27.80"
"sm89","37.80","41.10","41.90","41.65","86.00","73.65","60.50","78.35","80.85","74.85","63.75","40.25"
"sm91","281.50","226.00","176.50","397.50","463.00","177.50"," 60.80"," 33.65"," 28.10"," 90.00","198.00","210.50"
"sm93"," 47.50"," 46.80"," 46.35"," 55.65","141.50","169.00"," 79.65"," 64.20"," 62.50"," 62.00"," 56.45"," 50.05"
"sm94","140.00","196.00","170.00","163.50","150.50","124.00"," 87.70"," 79.65"," 66.65"," 58.20"," 73.35"," 82.80"
"sm95"," 79.05"," 75.50","109.50","207.50"," 95.20"," 41.80"," 22.15"," 25.10"," 16.95"," 17.55"," 61.65"," 71.80"
"sm96","147.500","130.000","208.500","145.500"," 53.700"," 23.200","  8.120","  4.205","  3.855"," 16.600"," 37.800"," 91.600"
"sm97","66.40","78.80","88.75","77.30","77.45","57.45","36.30","35.30","25.50","31.50","37.30","61.00"
"sm98"," 71.600"," 79.800"," 75.600","165.000"," 79.450"," 33.300"," 14.900","  7.765","  6.700"," 16.300"," 21.000"," 35.950"
"sm99","153.50","251.00","224.00","197.00","177.00","142.00","103.00"," 78.70"," 72.35"," 67.90"," 79.25"," 97.10"
"sm100","147.50","126.00"," 56.80","126.50"," 65.60"," 64.75"," 37.50"," 33.30"," 29.50"," 37.30","106.00"," 97.50"
"sm102","51.40","73.50","71.35","68.00","61.40","42.70","26.85","35.45","21.30","16.65","25.40","45.45"
"sm103","117.00","109.00"," 97.15","130.00"," 91.65"," 47.95"," 22.55"," 21.55"," 11.30"," 18.90"," 65.85"," 57.55"
"sm104","53.700","38.300","33.500","37.300","26.500","15.200"," 3.310"," 3.445"," 2.380"," 5.965"," 6.155","16.450"
"sm105","80.85","85.60","74.65","65.50","51.95","61.70","41.80","39.80","26.00","20.30","33.20","51.65"
"sm106","471.00","315.00","351.00","563.00","297.00","127.00"," 62.10"," 44.20"," 41.75","203.00","280.00","363.00"
"sm107","102.50","121.00","108.00","131.00","115.00"," 45.50"," 20.00"," 13.80","  6.57"," 13.80"," 31.80"," 60.90"
"sm108","156.50","188.00","175.00","170.00","136.00"," 91.10"," 82.10"," 72.90"," 59.30"," 46.65"," 83.65","144.50"
"sm109"," 84.40","113.00"," 88.35"," 77.20"," 49.25"," 45.00"," 37.95"," 32.55"," 22.60"," 21.35"," 30.40"," 47.75"
"sm110","35.900","45.800","30.100","27.900","29.100","13.750"," 6.830"," 2.875"," 2.495"," 1.640"," 7.845"," 4.560"
"sm111","43.600","38.500","62.650","92.950","80.050","14.500"," 7.355"," 7.030"," 5.480"," 6.290","10.900","16.300"
"sm113","91.95","75.80","54.65","53.55","37.35","33.85","50.85","34.15","23.55","26.20","32.95","59.35"
"sm114","117.50"," 91.70"," 58.85"," 62.50"," 29.20"," 24.80"," 17.75"," 16.30"," 17.35"," 23.65"," 46.40"," 74.10"
"sm115"," 4.850"," 4.850","11.100","36.450","83.450","23.400","14.050","17.850","10.750"," 8.370"," 8.845"," 6.070"
"sm116"," 38.50"," 43.50"," 75.00","259.00","262.00","184.00"," 38.75","  9.97","  6.66"," 10.90"," 20.70"," 29.90"
"sm117","62.55","87.90","87.90","86.50","79.75","59.15","44.65","48.05","32.90","29.30","37.75","56.80"
"sm118","102.500"," 91.100","118.500","176.000"," 84.700"," 27.400"," 16.150","  7.965","  6.375"," 13.300"," 63.100"," 83.700"
"sm119","734.50","385.00","265.50","513.00","605.00","329.00","139.00"," 66.55"," 63.50","206.50","478.50","408.00"
"sm120","18.600","22.400","46.300","73.450","81.150","40.150","16.250","10.700"," 9.685","15.200","16.600","15.100"
"sm121","37.80","48.00","41.70","51.85","52.75","37.50","27.80","35.25","22.65","16.45","22.45","31.80"
"md1"," 67.95","102.00","112.50","104.00"," 93.30"," 67.40"," 53.50"," 48.20"," 33.55"," 31.20"," 43.20"," 63.70"
"md2"," 40.550"," 37.000"," 31.900"," 62.150","130.500"," 42.350"," 17.600"," 12.450","  9.895","  6.380","  6.680"," 10.100"
"md3","144.50","190.00","162.50","188.50","179.00","123.00"," 49.60"," 64.45"," 23.65"," 92.60"," 94.70","144.50"
"md5"," 81.00"," 95.50","110.00"," 94.75","104.50"," 79.10"," 49.95"," 43.00"," 49.35"," 72.25"," 72.05"," 63.50"
"md6","168.50","147.00","144.00","188.00","136.00"," 78.60"," 41.55"," 19.80"," 14.25"," 32.70","119.00","136.00"
"md7"," 69.40"," 97.70","117.00"," 98.70"," 94.60"," 54.25"," 23.15"," 16.85"," 11.90"," 16.40"," 24.40"," 35.60"
"md8","107.50","161.00","156.00","110.50"," 85.95"," 60.45"," 45.00"," 38.00"," 27.30"," 20.30"," 35.00"," 84.70"
"md9","26.80","25.50","35.10","49.95","40.50","33.85","32.25","28.35","27.30","36.60","28.80","26.75"
"md10","0.325","1.080","2.355","9.410","8.590","6.075","3.390","1.740","0.740","0.525","0.320","0.240"
"md11"," 96.40"," 89.80"," 81.15"," 63.45","139.00","341.50","445.00","216.00","113.00"," 87.40"," 84.70"," 83.25"
"md12","115.50","139.00","137.00","119.50"," 75.55"," 52.95"," 45.45"," 37.70"," 26.60"," 27.20"," 42.85"," 57.50"
"md13","219.00","191.00","219.50","369.50","222.00","118.00"," 67.05"," 90.10"," 59.65"," 66.60","173.50","175.00"
"md14","234.5","271.0","196.5","228.5","275.0","186.5","127.0","140.0","121.0","102.5","153.5","149.0"
"md15"," 7.985","20.100","34.450","56.600","34.550","11.750"," 2.625"," 0.425"," 0.530"," 2.295"," 3.535"," 4.700"
"md16"," 9.82"," 9.94","10.45","11.70","17.75","12.20","10.20","10.75"," 8.58"," 9.46"," 9.25"," 7.62"
"md17"," 92.600","110.000"," 81.150"," 62.100"," 32.200"," 31.200"," 19.100"," 12.550"," 11.950","  7.730","  9.855"," 41.200"
"md18"," 42.90"," 45.00"," 48.35"," 93.45","216.00","585.00","465.50","388.00","357.50","160.50"," 94.35"," 50.35"
"md19","135.50","153.00","178.50","157.50","146.50","127.50","113.50","112.15","109.85","141.50","151.00","146.00"
"md20"," 53.650","142.000"," 88.000","141.000"," 80.650"," 13.100","  3.730","  2.530","  2.535","  0.515","  2.915"," 10.250"
"md22","223.50","141.00"," 43.15","162.50","171.00","139.00","202.50","194.00","195.00","127.50"," 46.60"," 93.70"
"md23","57.200","41.100","32.150","26.900","14.400","12.950"," 6.975"," 4.615"," 2.065"," 0.505"," 6.630","19.100"
"md24","47.70","60.40","55.45","53.70","59.55","43.05","34.60","60.50","29.20","21.85","27.05","39.10"
"md25","2.685","6.800","4.900","6.280","1.310","0.645","0.245","0.475","0.300","0.310","1.435","1.480"
"md26","  16.00","  20.60","  21.90","  45.45"," 279.00","1115.00"," 488.50"," 123.50","  49.70","  64.80","  37.95","  26.95"
"md27","145.5","140.0","170.5","169.0","157.0","142.0","111.0","113.0","193.0","217.5","151.5","142.0"
"md28","192.00","153.00"," 43.15","164.00"," 96.10"," 93.40"," 85.70"," 74.20"," 87.70"," 42.50"," 43.25"," 40.80"
"md29"," 97.70"," 86.50"," 55.05"," 82.75","124.00","107.00"," 59.85"," 43.20"," 34.85"," 43.00"," 88.70"," 85.65"
"md30","746.0","368.0","130.5","429.0","478.5","163.5","114.5"," 50.1"," 73.8","240.0","273.0","330.5"
"md31","68.85","86.80","81.45","68.65","55.05","84.20","58.25","52.85","26.90","22.40","32.55","47.75"
"md32","246.50","320.00","222.50","261.00","216.50","124.00"," 81.25"," 47.85"," 33.00"," 52.50","115.50","220.50"
"md33","194.00","312.00","159.00","211.00","134.50"," 92.55"," 45.10"," 22.05"," 16.45"," 58.25"," 99.00","141.50"
"md34"," 82.60"," 77.00","113.50","151.50","131.00"," 28.60"," 11.60"," 15.10"," 13.95"," 13.55"," 16.80"," 35.50"
"md35","647.00"," 78.10"," 57.35","399.00","393.00","201.00"," 53.85","272.50","388.50","205.50","458.00","427.50"
"md37","158.00","291.00","307.50","240.00"," 54.65"," 30.45"," 22.15"," 10.30","  8.33","  6.09"," 27.05","118.50"
"md38","1450.0","1520.0"," 696.0"," 877.5"," 428.5"," 390.0"," 393.0"," 341.0"," 413.0"," 467.5","1435.0","1175.0"
"md39","227.00","176.00"," 20.30","183.00"," 50.95"," 35.45"," 47.20"," 43.10"," 43.75"," 19.30"," 18.40"," 24.00"
"md41"," 1.900"," 3.440","13.400","59.300","37.550","17.450","18.500","19.200","10.100"," 3.640"," 3.320"," 1.845"
"md42"," 50.000"," 42.200"," 16.600","  9.335","  9.920"," 63.250","110.500","133.000","157.500","103.500"," 61.600"," 41.650"
"md43","863.50","600.00","640.50","951.50","396.50","117.00"," 44.05"," 24.50"," 24.45","127.00","378.00","562.50"
"md44","273.50","348.00"," 64.65","246.50","183.50"," 63.15"," 78.85"," 50.80"," 71.20"," 78.05","115.00","245.00"
"md45","200.50","164.00","238.50","353.00","203.50"," 77.60"," 39.90"," 29.55"," 24.65"," 29.50","113.00","140.50"
"md47","219.50","272.00","253.50","336.00","231.00"," 86.00"," 38.70"," 25.00"," 18.35"," 24.05","105.50","174.50"
"md48"," 603.0"," 460.0"," 328.5"," 512.5","1315.0","1170.0"," 927.0"," 589.0"," 507.5"," 543.5"," 690.5"," 499.0"
"md49","588.5","508.0","473.5","912.5","568.5","330.0","169.0","113.5","110.0","173.0","309.5","404.5"
"md50","411.00","151.00","256.00","280.00"," 83.10"," 80.90"," 52.25"," 59.80","106.00","256.00","107.50","149.50"
"md51","275.00","239.00","146.50","295.50","214.00"," 91.60"," 63.30"," 67.60"," 60.00"," 54.30"," 73.65","106.00"
"md52"," 26.70"," 30.80"," 58.65","104.50","123.50"," 53.45"," 21.80"," 13.25"," 13.55"," 23.00"," 24.05"," 22.60"
"md53","111.50"," 96.80"," 77.10"," 70.95"," 45.45"," 37.35"," 32.40"," 33.80"," 18.50"," 21.20"," 36.30"," 81.90"
"md54","128.5","141.0","175.5","278.5","262.5","206.5","179.5","150.0","145.0","161.0","149.5","127.0"
"md55","144.50","125.00","192.00","236.50","254.50"," 44.40"," 12.75"," 15.20","  7.35"," 16.90"," 10.95"," 39.45"
"md56","311.0","364.0","271.0","324.5","330.5","310.0","218.5","229.0","210.0","139.0","203.0","218.5"
"md57","122.5","121.0","145.0","236.0","258.5","194.5","149.0","134.0","158.0","219.0","162.0","141.0"
"md58"," 76.00"," 73.90"," 78.90"," 93.40","143.00","257.00","206.50"," 88.85"," 81.30"," 90.15"," 81.35"," 76.30"
"md59","492.5","512.0","383.0","501.0","508.5","297.5","178.5","150.0","157.5","143.5","232.5","282.5"
"md60","303.00","225.00","346.00","292.00"," 74.45"," 30.90","  9.30","  3.80","  4.03"," 13.35"," 29.00","101.50"
"md61","1120.0"," 862.0"," 476.0"," 842.5"," 752.0"," 330.5"," 241.0"," 123.0"," 169.0"," 362.5"," 455.5"," 573.5"
"md63","318.50","305.00","278.00","407.50","285.50","152.50"," 50.00"," 28.30"," 22.25"," 46.55","170.50","199.00"
"md64"," 68.45"," 66.60"," 97.25","432.00","335.50","230.00","117.00"," 82.20","126.00","186.50","113.50"," 84.30"
"md65","173.50","188.00","164.00","169.00","139.00"," 90.05"," 77.40"," 69.65"," 58.30"," 86.80","134.00","136.50"
"md66","17.750","16.100","60.100","32.200","10.850"," 8.810"," 6.615"," 4.810"," 4.250"," 0.850"," 1.475"," 4.245"
"md67","362.00","517.00","320.50","373.50","290.50","198.00","120.00"," 67.10"," 54.40"," 75.75","168.50","272.50"
"md69"," 48.05"," 44.60"," 43.85"," 49.25","141.50","299.00","116.50"," 71.15"," 62.80"," 63.15"," 63.20"," 49.45"
"md70"," 591.0"," 587.0"," 614.5","1050.0"," 750.5"," 361.0"," 237.5"," 201.5"," 196.0"," 233.5"," 322.0"," 445.5"
"md71","269.50","259.00","228.00","212.00","165.00","199.50","119.50","136.00"," 74.05"," 57.85"," 95.70","148.00"
"md72","125.15","167.00","178.50","216.50","435.00","156.00"," 78.55"," 60.30"," 43.45"," 34.10"," 34.40"," 47.25"
"md74","284.00","338.00","305.00","603.00","305.50","170.50","145.00","170.00","126.00","104.05","185.50","229.00"
"md75","1295.0","1150.0"," 643.0","1060.0"," 809.5"," 381.5"," 287.0"," 148.5"," 209.5"," 419.5"," 560.0"," 750.0"
"md76","1055.00"," 858.00"," 922.50","1290.00"," 611.50"," 211.50","  83.75","  45.95","  40.60"," 183.50"," 415.00"," 702.50"
"md77","583.00","500.00","754.50","604.00","224.00"," 84.30"," 32.30"," 19.75"," 18.70"," 47.75","105.25","325.50"
"md78","296.00","391.00","224.00","319.00","193.50"," 79.25"," 49.20"," 34.60"," 20.60"," 55.30"," 78.20","162.50"
"md79","148.50","151.00","160.00","176.50","224.50"," 85.40"," 57.20"," 50.00"," 60.50"," 97.85","128.00"," 98.20"
"md80","710.0","771.0","815.5","756.0","656.0","444.0","375.5","375.0","274.5","214.0","357.5","628.0"
"md81"," 99.70"," 92.80","139.00","157.00","171.50"," 76.55"," 89.35"," 93.10"," 65.90"," 93.05"," 37.00"," 47.45"
"md82","281.00","290.00","230.00","242.00","153.00","152.50","114.50","119.50"," 67.55"," 36.40"," 73.60","115.50"
"md83","834.0","323.0"," 65.7","169.5","230.0","221.0","223.0","230.5","573.5","571.5","295.0","405.0"
"md84","728.0","789.0","559.5","954.0","580.5","384.5","327.5","367.0","323.0","295.5","382.5","517.0"
"md85","332.5","586.0","276.0","385.0","251.0","163.0"," 77.5"," 55.4"," 53.9"," 90.9","119.5","254.5"
"md86","409.00","689.00","425.00","499.50","408.00","242.00","167.00","106.50"," 62.60"," 80.45","191.50","378.50"
"md87","547.0","636.0","533.5","625.0","369.0","228.5","235.0","237.5","137.0","122.5","170.5","224.0"
"md88","568.5","485.0","301.0","575.0","535.0","264.5","252.5","206.0","197.0","190.0","243.5","336.0"
"md89"," 38.20"," 46.80"," 80.00","192.50","277.50","179.00"," 59.65"," 36.70"," 34.00"," 39.45"," 36.95"," 37.75"
"md90","164.00","320.00","253.50","262.50","202.00","133.00","120.00"," 96.60"," 88.75"," 88.85","103.00","147.00"
"md91"," 869.5"," 354.0"," 341.0"," 376.0","1225.0"," 462.0"," 323.0"," 836.5"," 515.5"," 350.0"," 693.0"," 492.5"
"md92","736.00","601.00","913.50","870.50","266.50"," 94.35"," 39.25"," 20.10"," 17.50"," 60.25","151.00","405.00"
"md93"," 961.5"," 972.0"," 981.5","1690.0","1145.0"," 720.0"," 501.0"," 419.5"," 395.0"," 468.5"," 662.5"," 792.0"
"md95","153.5","201.0","163.0","236.0","326.5","301.5","313.0","289.5","275.0","206.0","179.5","158.5"
"md96","379.50","510.00","459.00","376.00","120.50","122.50"," 59.05"," 26.00"," 17.60"," 16.90"," 30.25","126.00"
"md97","628.50","594.00","577.00","707.00","454.50","257.00","175.00"," 79.35"," 69.90","166.50","459.00","464.50"
"md99","362.00","394.00","361.00","295.50","198.50","165.50","112.00"," 81.80"," 61.90"," 52.15","121.50","191.00"
"md100"," 114.0"," 253.0"," 271.5"," 771.5","1610.0","1475.0"," 383.5"," 104.5","  71.4","  78.5"," 113.0","  88.3"
"md101"," 637.5"," 503.0"," 657.5","1110.0"," 709.0"," 326.0"," 184.5"," 247.0"," 149.5"," 146.5"," 521.0"," 485.5"
"md102","328.5","294.0","357.0","414.0","350.5","287.5","244.5","231.0","240.0","270.0","294.0","267.5"
"md104","612.0","549.0","233.0","425.0","197.5","201.0","224.5","229.0","212.0"," 93.7","153.0","203.5"
