"Site","Jan_max","Feb_max","Mar_max","Apr_max","May_max","Jun_max","Jul_max","Aug_max","Sep_max","Oct_max","Nov_max","Dec_max"
"sm1",6.65,7.6,9.75,13.875,17.9,20.925,21.725,20.4,18.85,16.15,13.225,7.5
"sm2",14.725,16.45,17.425,19.1,22.025,23.725,24.625,24.45,23.9,21.925,17.35,14.85
"sm3",13.4,15.075,16.425,18.2,20.8,22.325,23.8,23.8,22.7,21.7,16.175,13.425
"sm4",9.925,11.625,14.325,18.325,21.425,23.8,25.3,24.475,22.925,21.2,14.65,10.2
"sm5",7.475,7.35,8.85,11.875,15.15,16.8,18.125,17.625,16.2,15.5,12.6,9.075
"sm7",8.55,10.425,12.6,16.9,20.45,22.7,24.775,23.825,22.675,20.35,14.075,9.45
"sm8",9.275,11.1,13.55,17.5,20.45,22.675,24.95,23.975,22.375,20.625,14.45,9.525
"sm9",10.425,11.675,14.5,18.975,22.55,25.2,27.725,26.65,25.1,22.45,15.75,10.9
"sm10",9.675,10.125,12.6,16.675,20.85,23.5,25.65,25.375,24,21.95,15.75,11.3
"sm11",10.425,12.15,15.1,18.475,23.6,25.85,28.6,26.375,24.75,22.525,15.85,10.325
"sm12",5.225,6.125,9.45,15.4,21.4,23.65,25,23.975,19.975,18.975,13.65,6.475
"sm13",8.325,8.6,9.8,13.325,16.9,19.175,19.75,19.975,18,13.825,12,9.225
"sm14",6.6,6.625,6.6,6.275,6.025,5.875,5.95,6.075,6.25,6.4,6.45,6.5
"sm15",13.1,15.3,16.575,18.425,21.2,22.45,24.05,23.85,23,21.775,16.15,13.425
"sm17",5.25,5.325,4.675,6.3,10.15,11.95,13.8,14.6,13.375,9.625,8.1,6.225
"sm18",1.65,1.625,2.35,5.35,14.15,16.2,16.875,15.6,14.7,11.925,5.125,2.7
"sm19",3.725,3.475,3.15,4.775,8.66666666666667,11.3,14.025,14.9,13.6,8.8,7.15,4.475
"sm20",9.075,11.075,14.225,18.3,22.025,24.3,25.825,25.025,23.225,21.125,14.875,9.4
"sm21",13.45,15.4,16.875,18.6,21.6,22.75,24.3,24.2,23.15,21.775,16.325,13.55
"sm22",2.325,3.55,5.75,8.875,10.725,12.2,14.575,14.775,13.575,9.575,6.375,2.975
"sm23",13.875,15.55,17.775,19.575,23.175,24.75,26.3,26.2,24.125,22.35,16.65,13.65
"sm24",5.175,5.25,4.7,7.45,10.525,11.525,11.475,11.7,10.875,9.575,8.275,6.1
"sm25",13.925,15.775,17.45,19.15,22.525,24.225,25.9,25.1,24.175,22.5,16.75,13.45
"sm26",9.325,9.375,9.55,11.875,15.05,17.875,19.05,19.3,17.375,13.025,11.4,9.2
"sm27",13.375,15.125,16.475,18.55,21.275,22.575,24.2,24.05,22.9,21.825,15.975,13.25
"sm28",7.025,9.275,13.9,18.25,22.2,25.25,26.5,24.8,23.7,21.3,13.1,8.85
"sm29",3.875,4.55,7.95,13.425,20.725,23.75,25.575,24.475,23.025,19,11.025,6
"sm30",6.675,6.925,7.375,10.7,16,17.45,17.8,18.25,14.9,12.225,10.575,7.125
"sm31",20.05,22.7,22.825,24.025,26.3666666666667,28.425,28.45,28.6,27.975,26.775,23.15,20.825
"sm32",13.6,15.625,17.525,19.55,22.775,24.125,25.45,25.3,23.95,22.55,16.5,13.6
"sm33",2.175,2.25,3.075,5.425,14.15,16.25,17.275,15.55,14.45,11.825,5.2,3.1
"sm34",13.95,16.275,18.15,20.25,23.85,25.275,26.85,26.425,25.125,23.375,17.05,14.6
"sm35",1.475,1.575,2.1,2.925,4.825,7.15,8.4,8.65,7.975,5.175,3.05,1.475
"sm36",4.45,4.1,3.825,5.225,8.575,10.825,13.975,14.75,13.575,9.075,7.375,5.1
"sm37",8.375,10.6,13.625,17.9,21.2,23.625,25.7,24.7,22.9,20.925,14.4,9.2
"sm38",14.45,16.425,18.125,20.225,23.925,25.3,26.8,26.425,24.775,23,16.5,13.95
"sm40",8.375,8.65,9.825,14,18.3,20.925,21.9,22.15,19.4,14,11.825,9.4
"sm41",14.575,16.175,18.375,20.8,24.1,25.75,26.95,26.775,25.625,23.625,17.575,14.1
"sm42",5.625,5.7,4.975,7.275,11.7,13.5,15.1,15.525,13.9,10.25,8.75,6.75
"sm43",4.575,3.6,7.025,12.5,15.775,18.15,19.725,19.175,17.25,11.85,7,4.75
"sm44",13.8,15.375,16.925,18.15,20.65,22.05,23.275,23.625,23.025,21.15,15.725,13.875
"sm45",15.725,17.225,18.675,19.625,22.475,23.7,24.65,24.6,23.725,22.5,18.425,16
"sm46",13.875,15.65,17.25,19.125,22.375,23.925,25.325,25.2,23.675,22.275,16.675,13.85
"sm49",3.425,4.025,5.575,7.825,9.325,12,14,14.625,13.6,8.9,5.6,3.8
"sm50",5.1,4.75,5.15,7.5,10.45,11.325,12.95,13.325,13.175,11.975,9.425,6.65
"sm51",7.7,7.925,10.05,13.525,17.675,21.35,22.275,20.025,18.825,16.95,11.225,9.2
"sm53",2.45,2.3,4.65,11.375,17.475,20.275,23.1,22,19.725,16.425,11.05,4.5
"sm55",19.9,22.125,24.25,26.2,29.8,30.85,30.95,30.175,29.675,28.55,23.55,20.15
"sm57",1.425,1.5,2.375,3.7,6.8,10.925,13.4,13.475,11.6,6.775,3.65,1.3
"sm58",5.275,5.05,5.125,6.45,10.175,12.75,14.875,15.675,14,9.675,8.4,5.725
"sm59",14.775,16.325,18.375,19.85,23.375,24.95,26.175,25.95,24.6,22.825,16.825,14.075
"sm60",5.9,6.175,5.65,7.8,13.175,15.725,17.35,17.75,15.425,10.75,9.125,6.775
"sm61",8.95,11.05,14.7,19.475,23.45,25.675,28.25,26.575,24.8,22.1,15.025,9.875
"sm62",6.225,5.925,5.425,7.175,11.25,14.175,16.775,17.35,15.725,11.225,8.875,6.775
"sm64",5.35,5.45,4.95,6.925,10.725,13.5,16.525,17.5,15.5,10.425,8.35,6.075
"sm65",13.85,16,18.075,20.175,23.875,25.375,26.8,26.45,24.925,23.125,16.675,13.475
"sm66",8.475,8.675,10.175,14.3,18.825,21.6,22.175,22.375,19.725,14.35,12.075,9.4
"sm67",15.525,17.275,18.25,19.675,22.25,23.15,24.275,24.2,23.325,22.075,17.625,15.675
"sm68",12.025,16.175,18.025,19.775,23.675,24.875,26.45,26.125,24.7,23.075,16.775,13.05
"sm69",1.1,2.275,6.775,14.15,21.425,24.575,25.9,24.525,22.125,15.525,7.35,3.325
"sm70",10.575,12.975,14.75,16.85,19.5,20.825,22.85,22.4,21.475,20.25,14.375,10.8
"sm71",3.175,4.1,4.425,6.175,9.375,13.425,16.1,16.425,14.775,10.6,6.8,4.025
"sm72",4.2,5.625,8.525,10.5,12.325,14.975,17.6,17.275,16.175,11.975,7.8,5
"sm73",5.95,5.375,6.275,8.55,11.525,12.725,14.05,14,13.775,11.7,9.65,7.175
"sm74",5,5.375,7.925,12.225,17.925,20.55,22.3,21.5,20.05,17.675,11.625,7.05
"sm75",2.8,3.85,8.125,14.025,19.675,22.1,24.2,22.7,19.775,16.45,11.7,4.325
"sm76",4.925,5.775,8.775,13.325,19.925,22.675,23.85,22.325,20.925,18.125,10.425,5.8
"sm77",13.575,15.55,17.45,19.475,22.775,24.225,25.675,25.25,23.975,22.475,16.2,13.4
"sm78",14.625,16.9,18.375,20.5,24.15,25.575,27,26.875,25.575,23.8,17.6,14.725
"sm79",8.9,9.6,11.575,15.425,19.725,22.05,22.9,23.15,20.525,14.875,12.625,9.4
"sm80",16.1,17.9,19.35,21.3,24.75,26.1,27.75,27.675,25.85,24.45,19.025,16.575
"sm81",8.175,8.35,8.675,10.9,14.1,16.4,18.0333333333333,18.6666666666667,16.9333333333333,12.2,10.625,8.325
"sm82",5.625,6.075,10.875,17.05,24.075,28.775,29.3666666666667,28.1666666666667,26.8666666666667,22.975,14.175,6.975
"sm83",2.1,3.25,7,10.975,12.15,15.875,18.425,17.775,15.275,10.025,5.95,2.4
"sm84",11.15,13.3,17.075,20.5,25.45,27.475,29,28.5333333333333,27.4666666666667,25.425,18.35,12.825
"sm85",14.2,15.95,18.125,20.15,23.95,25.125,26.625,26.275,24.8,22.925,16.8,13.925
"sm86",14.25,16.325,18.2,20.125,24.125,25.45,26.6,26.35,25.1,23.425,17.2,13.75
"sm87",2.025,2.475,4.5,7.425,9.825,12.85,14.9,15.4,13.6,8.675,4.975,2.425
"sm88",13.925,16.025,18.125,20.1,23.85,25.375,26.825,26.475,24.85,23.15,16.65,13.525
"sm89",13.45,15,18.4,20.275,24.325,27.225,29.025,29.575,28.25,26.15,18.7,13.35
"sm91",4.6,4.425,4.75,6.05,8.425,10.775,11.775,11.775,11.075,9.7,7.75,5.425
"sm93",5.35,5.35,7.55,9.375,9.375,13.475,16.125,15.325,13.55,9,6.8,4.775
"sm94",11.7,12.825,13.375,15.4,17.325,18.8,20.025,20.175,19.725,18.85,13.85,11.975
"sm95",1.475,1.975,4.025,9.95,17.15,20.425,23.3,21.775,19.7,15.775,10.1,3.95
"sm96",7.475,7.825,7.4,10,14.05,17.475,20,20.55,17.925,12.475,10.275,7.7
"sm97",9.3,10.475,12.05,16.275,19.525,21.2,23.25,22.875,20.775,18.75,14.4,10.55
"sm98",3.3,4.325,6.625,13.15,19.65,22.775,24.775,24.1,21.275,16.725,12.1333333333333,3.575
"sm99",12.075,13.425,13.7,16.4666666666667,19.4,20.6,21.975,22.075,21.5,20.45,14.825,12.375
"sm100",4.1,4.95,7.325,11.6,16.725,20.125,22.4,22.15,21.325,18.875,10.725,4.625
"sm102",7.375,9.35,11.425,16.575,20.55,22.5,24.675,23.55,21.925,19.85,13.625,8.225
"sm103",5.8,5.75,7.45,10.45,14.675,16.925,20,19.575,18.675,16.025,9.9,5.775
"sm104",11.1,13.825,17.05,19.75,23.075,25.475,26.95,26.275,23.95,22.45,16.1,11.6
"sm105",13.15,15.675,17.325,19.15,22.675,23.975,25.325,25.3,23.875,22.35,16.425,13.35
"sm106",5.075,5.375,4.725,6.875,11.575,13.75,15.125,15.45,13.6,10.125,8.625,6.25
"sm107",5.6,6.975,8.75,12.475,16.5,18.725,21.6,20.475,19.3,17.425,10.425,5.825
"sm108",9.275,10.9,11.975,13.875,16.05,17.4,18.525,18.3,17.925,16.575,11.925,10.275
"sm109",15.475,17.5,18.95,20.975,24.925,26.375,28.275,28,26.3,24.425,18.1,15.725
"sm110",6.375,7.375,10.35,15.65,22.425,25.45,26.975,24.975,23.8,20.25,11.85,7
"sm111",7.025,10.425,12.25,16.55,20.575,24.75,26.85,25.425,24.025,21.2,14.75,10.275
"sm113",17.225,19.425,21.325,22.025,25.925,27.05,27.975,27.625,26.925,25.3,19.85,18.25
"sm114",8.775,9.4,11.65,15.425,19.35,20.85,20.875,20.675,18.85,14.45,12.75,9.525
"sm115",0.15,0.375,3.9,6.7,9.6,14.65,16.075,15.025,13.025,10.4,3.725,0.325
"sm116",2.75,3.375,5,6.775,9.825,15.15,19.05,19.675,17.575,11.775,6.7,3.175
"sm117",8.25,9.975,11.975,16.7,20.525,23,25.025,24.2,22.575,20.325,14.4,9.025
"sm118",0.625,0.775,5.275,13.35,21.275,24.05,26.975,25.4,21.95,16.225,10.075,3.05
"sm119",4.95,4.8,4.975,6.075,8.775,11.05,13.45,13.95,12.925,9.8,7.8,5.7
"sm120",4.225,3.85,7.275,11.325,13.475,17.725,20.65,20.15,18.175,12.3,7.15,4.275
"sm121",8.725,11.075,14.1,18.425,22.225,24.45,26.9,25.275,23.55,21.1,14.625,9.175
"md1",7.025,9.325,11.45,16.8,20.775,23.425,26,24.325,22.425,19.775,13.475,7.875
"md2",10.25,10.925,13.75,16.075,19.15,23,25.375,25.15,24.725,22.9,17.125,12.775
"md3",4.725,6.325,8.05,12.225,17.5,19.825,23.45,21.4,20.45,17.575,10.075,5.875
"md5",9.6,12.225,15.45,19.525,24.25,27.875,30.8,29.1,26.3,23.175,16.025,11
"md6",5.125,5.3,7.575,11.15,16.525,19.15,22.35,21.75,20.25,16.75,9.525,5.225
"md7",8.05,10.2,11.925,16.45,20.05,21.85,24.1,23.35,21.575,19.15,14.55,10.325
"md8",13.55,15.9,16.675,19.3,23.475,24.925,27.275,26.65,25.125,23.35,16.55,13.65
"md9",2.3,2.45,4.325,11,19.425,22.725,24.25,23.35,20.725,15.525,7.425,3.875
"md10",9.675,10.075,10.4,13.175,15.525,16.4,16.25,15.8,14.425,12.475,11.5,10.1
"md11",1.575,1.625,2.975,6.3,8.6,10.475,13.15,14.05,14.1,8.725,3.75,1.325
"md12",13.75,15.675,17.625,19.675,23.575,25.2,26.775,26.35,25.05,22.975,16.325,13.625
"md13",3.6,3.275,4.825,9.175,14.5,17,18.95,18.375,17.05,15.2,10.525,4.975
"md14",10.45,12.35,13.6,15.85,17.4,19.2,21.025,20.4,19.6,18.375,13.3,10.6
"md15",5.575,6.925,8.025,11.325,17.125,20.15,21.825,21.6,19.05,12.9,10.275,5.95
"md16",9.225,12.25,18.375,21.175,25.325,28.6,30.025,29.15,27.175,24.025,15.475,10.675
"md17",12.45,14.775,18.525,21.325,26.825,29.075,30.675,30.275,28.45,26.525,18.9,13.225
"md18",4.95,5.25,7.125,9.2,10.8,11.5,13.5,13.8,13.5,10.425,7.325,5.4
"md19",4.925,6.45,8.8,13.9,17.15,19.025,20.275,19.475,16.95,11.325,7.8,5.025
"md20",10.275,13.1,17.2,19.425,23.875,27.725,29.475,27.825,26.35,23.475,15.95,12.1
"md22",3,3.25,4.65,7.975,11.725,14.1,16.275,16.8,16.45,15.875,10.7,5.5
"md23",14.8666666666667,16.6333333333333,18.25,19.35,22.95,25.125,25.8,25.875,24.175,22.425,16.175,14.7
"md24",9.3,11.475,14.65,19.475,23.8,26.425,28.975,27.1,25.525,22.7,15.35,9.775
"md25",13.45,16.3,20.725,22.225,26.425,28.7,29.8,29.3,27.625,25.375,18.725,15.1
"md26",0.6,0.55,1.2,2.4,5.2,7.775,14.575,15.775,14.625,9.075,3.625,0.825
"md27",5.425,5.275,5.525,7.25,10.4,11.65,12.6,12.975,13.675,11.525,9.175,6.725
"md28",3.25,3.7,6.775,11.25,15.225,16.3,18.3,20.75,20.5,20.175,13.025,6.225
"md29",5.8,5.45,8.225,12.475,14.775,14.625,16.975,16.95,14.9,15.45,14.2,9.225
"md30",4.3,4.175,5.3,8.05,11.8,14.425,17.675,18.775,18.375,14.525,9.25,6.375
"md31",14.4,16.625,18.425,20.725,24.6,25.9,27.35,26.925,25.6,24.1,17.35,13.975
"md32",4.625,7.875,10.575,14.2,20.55,22.825,24.425,23.325,21.775,18.75,10.775,5.9
"md33",5.8,7.55,9.35,13.95,21.225,23.225,25.85,24.7,22.55,19.45,11.3333333333333,5.975
"md34",7.2,7.675,11.55,14.95,20.825,25.45,28.45,27.85,26.375,24.15,15.925,9.375
"md35",6.625,6.375,5.65,6.675,7.275,8.225,9.575,12.8,17.425,17.6,11.075,7.275
"md37",12.55,14.5,15.8,18,23.05,24.825,26.85,25.925,24.2,21.825,15.7,13.375
"md38",4.975,4.575,5.425,7.425,10.775,11.375,12.4,13.35,14.7,13.4,9.4,7.05
"md39",3.65,4.725,7.45,13.25,19.225,24.65,27.125,26.675,24.475,20.375,11.625,4.9
"md41",3.875,4.825,6.65,8.625,11.15,12.85,15.475,19.225,19.275,14.9,10.1,5.85
"md42",20.825,23.225,23.75,25.775,26.85,28.275,27.825,28.025,27.825,26.675,23.625,21.6
"md43",6.8,6.675,6.175,8.375,13.875,17.25,20.35,21.025,18.4,12.125,9.4,7.275
"md44",5.325,5.425,7.775,12.55,18.225,21.675,23.675,23.225,21.825,19.325,14.5,8.95
"md45",1.025,1.15,4.625,12.725,20.4,23.7,26.225,25.025,21.55,16.375,10.175,3.05
"md47",5.125,6.35,8.7,14.3,19.5,22.175,25.25,24.65,21.8333333333333,18.25,12.9,6.8
"md48",4.275,3.95,5.05,6.5,7.975,9.2,11.4,11.825,10.825,8.075,6.925,4.875
"md49",5.425,5.5,5.45,6.775,9.625,12,14.175,14.525,12.55,9.55,8.125,6.125
"md50",8.1,8.625,8.975,10.35,11.675,13.575,15.75,19.2,20.85,18.25,12.625,8.2
"md51",4.65,4.825,6.225,8.5,12.75,15.4,16.375,17.05,18.3,17.55,13.225,7.2
"md52",2.125,4.125,7.425,11.1,14.425,18.3,20.675,19.825,17.025,11.575,6.8,2.825
"md53",16.025,17.575,20.05,21.225,24.2,26.225,26.75,26.775,25.4,23.625,17.75,15.025
"md54",0.475,0.4,2.975,9.675,18.725,21.525,22.275,21.35,18.4,14.05,5.4,1.875
"md55",9.275,12.775,16.8,19.625,24.8,28.4,30.35,28.85,27.1,23.8,16.275,11.575
"md56",11,13.275,15.575,17.525,20.025,21.775,23.5,22.75,22.1,20.15,15.075,11.25
"md57",2.175,2.575,5.625,9.625,18.225,20,20.275,19.425,17.425,13.35,5.275,3.3
"md58",1.95,2.95,6.75,10.3,12.525,15.275,17.775,17.95,14.75,8.875,5.65,1.925
"md59",9.75,11.8,13.175,15.95,18.65,21.05,23.375,22.975,21.35,19.175,13.1,10.175
"md60",7.375,7.5,8.5,12.65,18.475,22.1,24.95,24.65,21.925,14.65,10.95,7.2
"md61",6.925,7.15,8.075,9.5,12.025,13.275,14.025,13.925,13.025,11.725,9.75,7.6
"md63",5.825,6.3,7.825,11.3,16.725,19.675,23.95,22.8,21,17.275,9.65,5.4
"md64",0.025,0.025,1.05,8.55,19.075,22.725,23.85,21.925,18.75,13.65,4.475,0.9
"md65",4.725,5.475,8.25,13.075,19.3,21.025,22.45,21.25,19.95,17.325,11.275,6.375
"md66",11.8,11.7,13.25,15.175,18.4333333333333,20.75,20.35,20.775,19.675,16.85,14.775,11.95
"md67",5.5,7.45,9.25,12.275,19.65,21.35,24.35,23.7,21.75,18.975,11.425,6.45
"md69",2.2,3.8,6.3,9.975,11.375,12,14.875,15.275,13.525,8.775,6.2,2.625
"md70",5.6,5.725,5.525,6.9,10.225,11.85,12.25,12.075,10.775,8.575,7.825,6.05
"md71",13.825,16.15,18.1,20.2,24.125,25.725,27.35,26.9,25.55,23.85,17.55,14
"md72",12.3,12.4,14.2,15.775,18.65,21.875,24,24,23.6,22.15,17.575,14.2
"md74",3.9,3.95,6.15,10.75,17.575,19.675,21.075,20.075,18.1,16.35,11.125,5.3
"md75",7.45,7.775,9.075,10.75,14,16.3,17.95,18.275,16.275,12.675,10.425,8.125
"md76",6.9,7.05,6.8,8.775,13.525,17.325,20.225,20.725,18.025,12.1,9.925,7.3
"md77",7.575,7.725,7.7,10.875,16.05,19.675,22.45,22.825,19.525,13.2,10.475,7.55
"md78",7.375,9.3,11.825,16.125,22.3,25.45,27.575,25.65,23.2,20.825,13.225,7.45
"md79",4.125,5.35,8.525,14.375,20.3,23.35,24.825,23.35,22.25,18.325,10.85,6.05
"md80",10.1,12.05,12.775,15.4,18.425,19.575,21.7,21.15,20.4,19.3,13.275,10.725
"md81",4.875,7.775,12.475,18.2,23.85,29,30.55,27.925,26.675,22.55,13.025,7.65
"md82",13.45,15.65,18.475,20,23.55,25.175,26.55,26.325,24.95,23.025,16.575,13.35
"md83",7.425,7.725,7.625,9.8,12.5,15.85,16.425,15.2,15.925,17.425,12.825,7.7
"md84",4.85,4.925,6.825,11.1,16.8,17.925,20,20.6,20.35,17.8,11.425,6.1
"md85",6.175,7.65,9.425,14.1,20.7,21.375,22.875,21.8,21.2,19.1,12.525,6.85
"md86",6.15,7.75,9.425,14.825,21.675,24.725,26.65,24.175,23.525,20.475,11.75,6.375
"md87",3.25,2.925,4.6,9.825,14.025,17.15,20.75,21.65,21.95,18.775,12.775,6.025
"md88",4.925,5.525,8,11.075,16.475,17.175,19.1,18.95,17.7,16.825,11.0333333333333,5.35
"md89",3.35,4.8,7.475,10.225,11.925,16.05,20.85,20.725,18.325,10.8,7.7,2.775
"md90",10.675,12.05,14.15,17.45,22.25,24.4,26.575,25.45,24.725,22.85,16.425,12.15
"md91",5.45,5.575,6.35,8.775,10.625,13.225,15.525,15.825,11.3,10.375,9.125,6.975
"md92",7.6,7.775,7.775,10.65,15.8,19.75,23.1,23.675,20.675,13.975,10.5,7.75
"md93",5.05,5.1,5.35,6.925,10.775,13.025,14.4,14.675,12.85,9.375,7.9,5.575
"md95",5.725,5.825,7.8,10.55,12.35,13.75,13.8,13.825,14.15,13.825,11.225,7.7
"md96",13.775,16,18.375,21.375,25.9,27.325,29.325,28.85,27.4,24.925,18.325,13.8
"md97",4.95,5.225,7.625,11.975,19.35,22.55,23.85,24.875,23,18.4,10.2,5.15
"md99",13.075,15.825,18.1,19.775,24.3,25.55,27.475,27.15,25.5,23.375,16.7,13.125
"md100",2.5,4.025,6,7.875,8.725,12.075,19.775,21.35,18.775,11.3,6.65,1.95
"md101",3.975,3.7,5.75,11.025,17.8,21.2,24.5,22.125,20.425,17.125,10.6,4.975
"md102",3.975,4.3,6.2,10.875,16.125,17.475,17.975,16.45,15.475,13.125,7.275,5.475
"md104",3.45,3.75,6.625,10.95,13.6,18.225,22.05,24.325,23.375,20.575,12.425,5.575
"md105",10.6,13.7,17.55,21.9,25.8,28.15,31.25,28.5,26.925,24.2,16.575,11.05
"md106",5.45,5.6,7.7,11.75,18.575,21.9,24.325,22.175,20.575,17.4,9.925,5.25
"md107",1.3,1.375,1.725,5.025,10.75,14.275,15.15,15.975,16.775,15.875,8.575,2.25
